,QHULL SOIL1,QHULL SOIL2,QHULL SOIL3,QHULL SOIL4
350,0.0681286677718163,0.0918696597218513,0.102745361626148,0.206392884254456
351,0.058939952403307,0.0818279609084129,0.107003279030323,0.209823280572891
352,0.0601905696094036,0.0821547582745552,0.103458754718304,0.209442958235741
353,0.0624837949872017,0.0825676769018173,0.101032227277756,0.208366870880127
354,0.0587248280644417,0.0775048136711121,0.103082604706287,0.209528565406799
355,0.0574365481734276,0.0819717943668365,0.0951392576098442,0.210978671908379
356,0.0575335845351219,0.0832383036613464,0.0966215282678604,0.21238024532795
357,0.0603679232299328,0.0810729935765266,0.101492330431938,0.21434298157692
358,0.0658039897680283,0.0798520296812058,0.0979269221425056,0.216314241290092
359,0.0619936063885689,0.0843395739793777,0.0937168449163437,0.208544597029686
360,0.061215665191412,0.0856282785534859,0.0935013592243195,0.205120176076889
361,0.0656125023961067,0.083152636885643,0.0955072864890099,0.207667469978333
362,0.0663052946329117,0.0848100855946541,0.0924349576234818,0.204666242003441
363,0.0659249052405357,0.0832292139530182,0.0927774831652641,0.20443294942379
364,0.0655616670846939,0.082879438996315,0.0917173624038696,0.205877780914307
365,0.065564438700676,0.086404412984848,0.0864570960402489,0.206904411315918
366,0.0648962333798409,0.0859706103801727,0.085999108850956,0.207637220621109
367,0.0644185245037079,0.0862506628036499,0.0865761712193489,0.207951262593269
368,0.0641769543290138,0.0869261994957924,0.0868456438183784,0.207661494612694
369,0.0638398081064224,0.08561672270298,0.0868416726589203,0.206714883446693
370,0.0632298067212105,0.0835399851202965,0.0877157673239708,0.205982625484467
371,0.0643831267952919,0.0838367193937302,0.0880349352955818,0.206770792603493
372,0.0665306746959686,0.0863066986203194,0.0869932025671005,0.208434090018272
373,0.0647530779242516,0.0861046761274338,0.0848391950130463,0.207552552223206
374,0.0646555945277214,0.0855077728629112,0.0836262628436089,0.21037968993187
375,0.0661884769797325,0.0843399316072464,0.0824235826730728,0.21233506500721
376,0.0673083662986755,0.0826847478747368,0.0808051601052284,0.209495589137077
377,0.0641581639647484,0.0841351598501205,0.0842484831809998,0.211814194917679
378,0.0640992000699043,0.0840466544032097,0.0846681743860245,0.213649079203606
379,0.0662111416459084,0.0826739966869354,0.0812610909342766,0.214116632938385
380,0.0639160126447678,0.0837442278862,0.0788560062646866,0.215936541557312
381,0.0651185810565948,0.0838172733783722,0.0783939063549042,0.215736985206604
