Wavelength,PCA SOIL1,PCA SOIL2,PCA SOIL3
350,0.141702309250832,0.0819320231676102,0.220576882362366
351,0.142279759049416,0.0844874009490013,0.21316747367382
352,0.140964388847351,0.0869408771395683,0.211289197206497
353,0.137926563620567,0.0884503424167633,0.216659769415855
354,0.13529372215271,0.0888529941439629,0.223482683300972
355,0.139176204800606,0.0870831161737442,0.215131372213364
356,0.136698096990585,0.0849336236715317,0.21207270026207
357,0.132350355386734,0.0844281390309334,0.21409909427166
358,0.133927568793297,0.0862461999058723,0.214384406805038
359,0.131569907069206,0.0839094743132591,0.213669270277023
360,0.129266738891602,0.0827437341213226,0.215621113777161
361,0.12976910173893,0.0849790573120117,0.218435421586037
362,0.133534669876099,0.0889922678470612,0.215284898877144
363,0.13077287375927,0.0880716368556023,0.215677693486214
364,0.128761947154999,0.0865524560213089,0.216066762804985
365,0.131978362798691,0.0879203602671623,0.213794812560081
366,0.128560692071915,0.0876651108264923,0.215402111411095
367,0.126926869153976,0.0869578197598457,0.216262996196747
368,0.127399563789368,0.086247056722641,0.21553847193718
369,0.126803264021873,0.0857821926474571,0.214503467082977
370,0.128487676382065,0.087270475924015,0.21531143784523
371,0.128807321190834,0.0883674696087837,0.215646833181381
372,0.126530364155769,0.0875286757946014,0.215033039450645
373,0.124398469924927,0.0845696330070496,0.216154351830482
374,0.123163498938084,0.0843352451920509,0.216118142008781
375,0.123548619449139,0.0862362831830978,0.215001434087753
376,0.125426754355431,0.0880421027541161,0.213949143886566
377,0.126479923725128,0.0880401954054832,0.21483188867569
378,0.125767976045609,0.0855486318469048,0.216685518622398
379,0.124321296811104,0.0831144377589226,0.218421667814255
380,0.124424375593662,0.0851063281297684,0.219090983271599
381,0.125106528401375,0.0872931107878685,0.220222011208534
382,0.125142529606819,0.0879207327961922,0.220320180058479
383,0.124396115541458,0.0868070051074028,0.21918012201786
384,0.125230506062508,0.0859019905328751,0.22031769156456
385,0.124919325113297,0.0857090055942535,0.221115857362747
386,0.124292843043804,0.0859794095158577,0.221534550189972
387,0.124973736703396,0.0860671177506447,0.222475960850716
388,0.124420121312141,0.0854020193219185,0.224458292126656
389,0.124169513583183,0.084838792681694,0.225287720561028
390,0.12454229593277,0.0847423374652863,0.225053712725639
391,0.124164655804634,0.0847968608140945,0.226582422852516
392,0.125223964452744,0.0853878185153008,0.228478282690048
393,0.125848338007927,0.085920512676239,0.229117944836617
394,0.124705709517002,0.0859778225421906,0.22810997068882
