,SOIL1,SOIl2,SOIL3,SOIL4,PV1,PV2,NPV
447,0.0811344683170319,0.0926782861351967,0.0891769602894783,0.28794938325882,0.024180639535188675,0.03836521506309509,0.032976385205984116
455,0.0824866592884064,0.0937487483024597,0.0913369357585907,0.294939666986465,0.02505149506032467,0.03984532505273819,0.034535594284534454
462,0.0834460332989693,0.0942899137735367,0.0932158157229424,0.300366073846817,0.025663603097200394,0.041536323726177216,0.03599736839532852
470,0.0838364064693451,0.0954887196421623,0.0950178354978561,0.305686503648758,0.026090867817401886,0.04199036955833435,0.037265386432409286
477,0.0845129638910294,0.0963504984974861,0.0965392515063286,0.310973584651947,0.026526395231485367,0.04332910478115082,0.03839047998189926
484,0.0851884633302689,0.0974404662847519,0.0989252030849457,0.317661672830582,0.028002161532640457,0.04498020187020302,0.038749463856220245
492,0.08682531863451,0.098501518368721,0.10249550640583,0.326517641544342,0.027638861909508705,0.047039616852998734,0.03879105672240257
499,0.0884200632572174,0.0995672047138214,0.105632774531841,0.335611999034882,0.029130354523658752,0.050912611186504364,0.04142548888921738
507,0.0902307108044624,0.100561089813709,0.109601780772209,0.346637368202209,0.031486812978982925,0.05483764410018921,0.043926436454057693
514,0.0922394171357155,0.101580105721951,0.113207153975964,0.356202244758606,0.03767259418964386,0.06018606200814247,0.04818711057305336
522,0.0942442044615746,0.102907225489616,0.118170686066151,0.367544203996658,0.04567110911011696,0.06558195501565933,0.05369880050420761
529,0.0959597453474998,0.103898897767067,0.123651757836342,0.377268701791763,0.05525459349155426,0.07108888775110245,0.0600455217063427
536,0.0979033261537552,0.104929052293301,0.131466895341873,0.387062281370163,0.061954181641340256,0.07647048681974411,0.0645788311958313
544,0.0998136550188065,0.106305129826069,0.143951341509819,0.397929519414902,0.06556929647922516,0.08114015311002731,0.06785557419061661
551,0.101573511958122,0.107496932148933,0.158928215503693,0.407275140285492,0.06790751963853836,0.08509745448827744,0.07009627670049667
559,0.103507108986378,0.108917333185673,0.181500986218452,0.417954474687576,0.06674425303936005,0.0884043276309967,0.0706140398979187
566,0.105174876749516,0.11010779440403,0.206014782190323,0.426938533782959,0.06173570454120636,0.0904928520321846,0.06855982542037964
574,0.106838911771774,0.11156614869833,0.238076522946358,0.436889261007309,0.054746054112911224,0.0907314345240593,0.06551603227853775
581,0.108406253159046,0.112897127866745,0.268476575613022,0.445041000843048,0.05064712464809418,0.0906829982995987,0.0641164481639862
589,0.110031835734844,0.114534862339497,0.301033616065979,0.45330348610878,0.04738683998584747,0.08990325778722763,0.06288697570562363
596,0.111319489777088,0.115759827196598,0.324725091457367,0.459597706794739,0.0466429702937603,0.08637060225009918,0.06355537474155426
604,0.112830765545368,0.117356352508068,0.347848832607269,0.467119157314301,0.04507165029644966,0.0822196826338768,0.06359604001045227
611,0.114166758954525,0.118768140673637,0.365220546722412,0.474387645721436,0.042264729738235474,0.08008354157209396,0.06284758448600769
618,0.115539282560349,0.120361797511578,0.379354685544968,0.482102364301682,0.03964277729392052,0.07879942655563354,0.06142374500632286
626,0.117050096392632,0.12211050838232,0.392641305923462,0.490990906953812,0.03830353915691376,0.07750654965639114,0.061225149780511856
633,0.118711031973362,0.123818621039391,0.402898669242859,0.499620348215103,0.03747688606381416,0.0775267705321312,0.06202055141329765
641,0.120578035712242,0.125714749097824,0.412804156541824,0.509403169155121,0.036166008561849594,0.07597556710243225,0.06183059513568878
648,0.122329764068127,0.1274204403162,0.420766234397888,0.517900168895721,0.03291669487953186,0.07248357683420181,0.06077125668525696
656,0.124433100223541,0.129355758428574,0.429628759622574,0.527531981468201,0.030540497973561287,0.06827735900878906,0.05906031280755997
663,0.126409187912941,0.131145566701889,0.437504082918167,0.535769879817963,0.02914101630449295,0.06439179182052612,0.05702716484665871
671,0.128707394003868,0.133209094405174,0.446621268987656,0.544884860515594,0.027194278314709663,0.06131099909543991,0.057688046246767044
678,0.130764171481133,0.135063633322716,0.454956442117691,0.552535831928253,0.026709700003266335,0.062105968594551086,0.057198893278837204
