,SOIL1,SOIl2,SOIL3,SOIL4,PV1,NPV,PV2
447,0.0811344683170319,0.0926782861351967,0.0891769602894783,0.28794938325882,0.023600872606039047,0.057513270527124405,0.04882115498185158
455,0.0824866592884064,0.0937487483024597,0.0913369357585907,0.294939666986465,0.024764271453022957,0.06115654483437538,0.050753865391016006
462,0.0834460332989693,0.0942899137735367,0.0932158157229424,0.300366073846817,0.025785721838474274,0.06465199589729309,0.05201186239719391
470,0.0838364064693451,0.0954887196421623,0.0950178354978561,0.305686503648758,0.026597805321216583,0.06721846759319305,0.052964307367801666
477,0.0845129638910294,0.0963504984974861,0.0965392515063286,0.310973584651947,0.027249248698353767,0.07039012014865875,0.05397960543632507
484,0.0851884633302689,0.0974404662847519,0.0989252030849457,0.317661672830582,0.027172109112143517,0.07382841408252716,0.06642727553844452
492,0.08682531863451,0.098501518368721,0.10249550640583,0.326517641544342,0.027560239657759666,0.0765095129609108,0.07055851072072983
499,0.0884200632572174,0.0995672047138214,0.105632774531841,0.335611999034882,0.029226167127490044,0.07965711504220963,0.07587414234876633
507,0.0902307108044624,0.100561089813709,0.109601780772209,0.346637368202209,0.03233566880226135,0.0841149315237999,0.08206301182508469
514,0.0922394171357155,0.101580105721951,0.113207153975964,0.356202244758606,0.03830823302268982,0.08870546519756317,0.08907783776521683
522,0.0942442044615746,0.102907225489616,0.118170686066151,0.367544203996658,0.04691894352436066,0.09335455298423767,0.09753090143203735
529,0.0959597453474998,0.103898897767067,0.123651757836342,0.377268701791763,0.05701121315360069,0.09858124703168869,0.10668423771858215
536,0.0979033261537552,0.104929052293301,0.131466895341873,0.387062281370163,0.06472017616033554,0.10328120738267899,0.11509785056114197
544,0.0998136550188065,0.106305129826069,0.143951341509819,0.397929519414902,0.06799791008234024,0.1072116568684578,0.12166555970907211
551,0.101573511958122,0.107496932148933,0.158928215503693,0.407275140285492,0.07069622725248337,0.11097636818885803,0.12803523242473602
559,0.103507108986378,0.108917333185673,0.181500986218452,0.417954474687576,0.06971689313650131,0.11447378993034363,0.13137425482273102
566,0.105174876749516,0.11010779440403,0.206014782190323,0.426938533782959,0.06491246819496155,0.11612144857645035,0.13308130204677582
574,0.106838911771774,0.11156614869833,0.238076522946358,0.436889261007309,0.05751831457018852,0.11824802309274673,0.1335209757089615
581,0.108406253159046,0.112897127866745,0.268476575613022,0.445041000843048,0.053615961223840714,0.12061884999275208,0.13488006591796875
589,0.110031835734844,0.114534862339497,0.301033616065979,0.45330348610878,0.05049882084131241,0.12409281730651855,0.13603056967258453
596,0.111319489777088,0.115759827196598,0.324725091457367,0.459597706794739,0.04952075332403183,0.1273779273033142,0.1384112685918808
604,0.112830765545368,0.117356352508068,0.347848832607269,0.467119157314301,0.048257648944854736,0.13171760737895966,0.1388295739889145
611,0.114166758954525,0.118768140673637,0.365220546722412,0.474387645721436,0.04545547813177109,0.1342414915561676,0.1395586133003235
618,0.115539282560349,0.120361797511578,0.379354685544968,0.482102364301682,0.04299173504114151,0.1387450248003006,0.14172008633613586
626,0.117050096392632,0.12211050838232,0.392641305923462,0.490990906953812,0.04129163548350334,0.14203248918056488,0.14226998388767242
633,0.118711031973362,0.123818621039391,0.402898669242859,0.499620348215103,0.04067447409033775,0.14555448293685913,0.14506401121616364
641,0.120578035712242,0.125714749097824,0.412804156541824,0.509403169155121,0.038880426436662674,0.1489277482032776,0.1459217220544815
648,0.122329764068127,0.1274204403162,0.420766234397888,0.517900168895721,0.03553054481744766,0.15096740424633026,0.14422103762626648
